iter	Passed	Remaining
0	0	413
1	0	343
2	0	313
3	1	297
4	1	288
5	1	284
6	1	277
7	2	271
8	2	265
9	2	262
10	2	263
11	3	259
12	3	258
13	3	255
14	3	254
15	4	252
16	4	252
17	4	252
18	4	250
19	5	250
20	5	248
21	5	247
22	5	246
23	6	245
24	6	244
25	6	242
26	6	241
27	6	242
28	7	241
29	7	241
30	7	240
31	7	240
32	8	240
33	8	239
34	8	238
35	8	238
36	9	237
37	9	239
38	9	241
39	10	243
40	10	243
41	10	242
42	10	242
43	11	241
44	11	240
45	11	239
46	11	239
47	12	238
48	12	239
49	12	239
50	12	239
51	13	238
52	13	237
53	13	237
54	13	236
55	14	236
56	14	237
57	14	237
58	14	236
59	15	235
60	15	235
61	15	236
62	15	236
63	16	236
64	16	238
65	16	239
66	17	238
67	17	238
68	17	238
69	17	237
70	18	236
71	18	236
72	18	235
73	18	235
74	19	234
75	19	234
76	19	233
77	19	233
78	20	233
79	20	232
80	20	232
81	20	231
82	20	229
83	21	229
84	21	228
85	21	228
86	21	228
87	21	227
88	22	227
89	22	227
90	22	227
91	23	227
92	23	226
93	23	226
94	23	226
95	23	225
96	24	225
97	24	224
98	24	224
99	24	224
100	25	223
101	25	223
102	25	223
103	25	222
104	26	222
105	26	221
106	26	222
107	26	221
108	27	221
109	27	220
110	27	221
111	27	221
112	28	220
113	28	220
114	28	219
115	28	219
116	28	218
117	29	217
118	29	217
119	29	217
120	29	217
121	30	216
122	30	216
123	30	216
124	30	216
125	31	216
126	31	215
127	31	215
128	31	215
129	32	214
130	32	214
131	32	214
132	32	213
133	33	213
134	33	213
135	33	212
136	33	212
137	33	212
138	34	211
139	34	212
140	34	212
141	34	211
142	35	210
143	35	210
144	35	209
145	35	209
146	36	209
147	36	208
148	36	208
149	36	208
150	36	207
151	37	207
152	37	206
153	37	206
154	37	206
155	38	205
156	38	205
157	38	205
158	38	205
159	39	204
160	39	203
161	39	203
162	39	203
163	39	202
164	40	203
165	40	202
166	40	202
167	40	202
168	41	202
169	41	202
170	41	201
171	41	201
172	42	201
173	42	200
174	42	200
175	42	200
176	43	200
177	43	199
178	43	199
179	43	199
180	43	199
181	44	198
182	44	198
183	44	198
184	44	198
185	45	197
186	45	197
187	45	197
188	45	197
189	46	196
190	46	196
191	46	196
192	46	195
193	47	195
194	47	195
195	47	195
196	47	194
197	48	194
198	48	194
199	48	193
200	48	193
201	48	193
202	49	193
203	49	192
204	49	192
205	49	192
206	50	191
207	50	191
208	50	191
209	50	190
210	50	190
211	51	190
212	51	190
213	51	189
214	51	189
215	52	189
216	52	188
217	52	188
218	52	188
219	53	187
220	53	187
221	53	187
222	53	187
223	53	186
224	54	186
225	54	186
226	54	186
227	54	185
228	55	185
229	55	185
230	55	184
231	55	184
232	56	184
233	56	184
234	56	183
235	56	183
236	56	183
237	57	182
238	57	182
239	57	182
240	57	182
241	58	182
242	58	181
243	58	181
244	58	181
245	59	181
246	59	180
247	59	180
248	59	180
249	60	180
250	60	179
251	60	179
252	60	179
253	60	179
254	61	178
255	61	178
256	61	178
257	62	178
258	62	178
259	62	178
260	62	178
261	63	177
262	63	177
263	63	177
264	63	176
265	64	176
266	64	176
267	64	176
268	64	175
269	64	175
270	65	175
271	65	174
272	65	174
273	65	174
274	66	174
275	66	174
276	66	173
277	66	173
278	67	173
279	67	173
280	67	172
281	67	172
282	67	172
283	68	171
284	68	171
285	68	171
286	68	171
287	69	170
288	69	170
289	69	170
290	69	170
291	70	169
292	70	169
293	70	169
294	70	169
295	71	169
296	71	168
297	71	168
298	71	168
299	71	167
300	72	167
301	72	167
302	72	167
303	72	167
304	73	166
305	73	167
306	73	166
307	74	166
308	74	166
309	74	166
310	74	165
311	75	165
312	75	165
313	75	164
314	75	164
315	76	164
316	76	164
317	76	164
318	76	163
319	76	163
320	77	163
321	77	163
322	77	162
323	77	162
324	78	162
325	78	162
326	78	161
327	78	161
328	79	161
329	79	161
330	79	160
331	79	160
332	80	160
333	80	160
334	80	159
335	80	159
336	80	159
337	81	159
338	81	158
339	81	158
340	81	158
